Date,product_category_name,total_pedidos,ticket_medio,ticket_mediana,parcelas_media,parcelas_mediana,faturamento_total
2017-05-01,livros_tecnicos,1,88.5,88.5,9.0,9.0,88.5
2017-05-01,malas_acessorios,49,215.8412244897959,109.9,5.571428571428571,5.0,10576.22
2017-05-01,market_place,16,131.461875,102.95,4.4375,3.5,2103.39
2017-05-01,moveis_colchao_e_estofado,3,198.63,109.4,3.0,2.0,595.89
2017-05-01,moveis_cozinha_area_de_servico_jantar_e_jardim,8,160.5725,48.9,5.0,5.0,1284.58
2017-05-01,moveis_decoracao,183,114.34579234972676,77.0,4.0,3.0,20925.28
2017-05-01,moveis_escritorio,30,203.02633333333333,164.97500000000002,6.3,6.0,6090.79
2017-05-01,moveis_quarto,3,200.66,219.0,5.666666666666667,6.0,601.98
2017-05-01,moveis_sala,23,171.07217391304349,129.9,5.043478260869565,5.0,3934.66
2017-05-01,papelaria,51,102.27411764705883,69.9,4.254901960784314,4.0,5215.9800000000005
2017-05-01,pc_gamer,1,129.99,129.99,3.0,3.0,129.99
2017-05-01,perfumaria,106,163.0268867924528,129.9,4.811320754716981,4.0,17280.85
2017-05-01,pet_shop,48,159.928125,88.525,4.0625,3.0,7676.55
2017-05-01,relogios_presentes,102,330.6354901960784,183.965,5.715686274509804,6.0,33724.82
2017-05-01,sinalizacao_e_seguranca,1,74.9,74.9,5.0,5.0,74.9
2017-05-01,tablets_impressao_imagem,5,263.396,99.0,3.8,2.0,1316.98
2017-05-01,telefonia,148,50.701081081081085,25.99,2.358108108108108,2.0,7503.76
2017-05-01,telefonia_fixa,7,39.832857142857144,34.98,3.142857142857143,4.0,278.83
2017-05-01,utilidades_domesticas,192,84.93526041666667,59.9,3.6458333333333335,3.0,16307.57
2017-06-01,agro_industria_e_comercio,1,1390.0,1390.0,10.0,10.0,1390.0
2017-06-01,alimentos,1,149.9,149.9,4.0,4.0,149.9
2017-06-01,alimentos_bebidas,2,28.7,28.7,3.0,3.0,57.4
2017-06-01,artes,5,84.34,48.65,3.8,2.0,421.7
2017-06-01,artigos_de_natal,2,92.35,92.35,6.5,6.5,184.7
2017-06-01,audio,8,132.25,89.0,5.25,5.0,1058.0
2017-06-01,automotivo,80,339.542625,127.095,4.6625,3.5,27163.41
2017-06-01,bebes,48,118.2975,79.9,3.3541666666666665,2.0,5678.28
2017-06-01,beleza_saude,185,134.70805405405406,79.0,3.7783783783783784,3.0,24920.99
2017-06-01,brinquedos,119,108.06445378151261,86.99,3.8403361344537816,3.0,12859.67
2017-06-01,cama_mesa_banho,260,109.98038461538462,89.9,4.438461538461539,4.0,28594.9
2017-06-01,casa_conforto,12,162.865,159.89499999999998,6.25,7.0,1954.38
